"Athlete","Year","Time","Meet","Meet Date","Wind","team_var.Athlete","team_var.Year","team_var.Time","team_var.Meet","team_var.Meet Date","team_var.Wind","team_var.team_var","team_var.year_var","team_var.sex_var","team_var.event_var","year_var","sex_var","event_var"
"Williams, Quincey","JR-3",10.95,"2023 SCIAC T&F Championships","Apr 29, 2023",-0.7,Williams, Quincey,JR-3,10.95,2023 SCIAC T&F Championships,Apr 29, 2023,-0.7,CMS,2022,m,100,"2022","m","100"
"Williams, Quincey","JR-3",10.96,"SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023", 0.7,Williams, Quincey,JR-3,10.96,SCIAC Multi Dual 1 CIT, CLU, CMS, UR,Mar 4, 2023, 0.7,CMS,2022,m,100,"2022","m","100"
"Williams, Quincey","JR-3",11.00,"Redlands Invitational (Collegiate)","Mar 17, 2023",-0.4,Williams, Quincey,JR-3,11.00,Redlands Invitational (Collegiate),Mar 17, 2023,-0.4,CMS,2022,m,100,"2022","m","100"
"Cockburn, Jamie","SR-4",11.06,"Occidental Distance Carnival & Spring Break Classic (Co","Mar 11, 2023", 0.2,Cockburn, Jamie,SR-4,11.06,Occidental Distance Carnival & Spring Break Classic (Co,Mar 11, 2023, 0.2,CMS,2022,m,100,"2022","m","100"
"Teresi , Nicholas","SO-2",11.07,"SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023", 0.7,Teresi , Nicholas,SO-2,11.07,SCIAC Multi Dual 1 CIT, CLU, CMS, UR,Mar 4, 2023, 0.7,CMS,2022,m,100,"2022","m","100"
"Cockburn, Jamie","SR-4",11.17,"Redlands Invitational (Collegiate)","Mar 17, 2023",-0.7,Cockburn, Jamie,SR-4,11.17,Redlands Invitational (Collegiate),Mar 17, 2023,-0.7,CMS,2022,m,100,"2022","m","100"
"Teresi , Nicholas","SO-2",11.17,"Redlands Invitational (Collegiate)","Mar 17, 2023",-0.4,Teresi , Nicholas,SO-2,11.17,Redlands Invitational (Collegiate),Mar 17, 2023,-0.4,CMS,2022,m,100,"2022","m","100"
"Sojico, Henry","SR-4",11.35,"SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023", 0.0,Sojico, Henry,SR-4,11.35,SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU,Apr 1, 2023, 0.0,CMS,2022,m,100,"2022","m","100"
"Sojico, Henry","SR-4",11.37,"2023 SCIAC T&F Championships","Apr 29, 2023",-1.4,Sojico, Henry,SR-4,11.37,2023 SCIAC T&F Championships,Apr 29, 2023,-1.4,CMS,2022,m,100,"2022","m","100"
"Sojico, Henry","SR-4",11.39,"SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023",-1.1,Sojico, Henry,SR-4,11.39,SCIAC Multi Dual #3 CMS/CIT/ULV/WCU,Apr 15, 2023,-1.1,CMS,2022,m,100,"2022","m","100"
"Sojico, Henry","SR-4",11.40,"2023 Pomona-Pitzer T&F Invite","Apr 8, 2023",-0.6,Sojico, Henry,SR-4,11.40,2023 Pomona-Pitzer T&F Invite,Apr 8, 2023,-0.6,CMS,2022,m,100,"2022","m","100"
